n_commit,n_bug,n_suspect
897,72,284
28730,5719,10543
8631,2019,2682
11936,1312,1792
3380,352,201
657,27,48
2784,244,754
1288,190,378
1901,195,465
845,66,160
738,19,42
606,38,126
2126,256,346
300,44,26
7388,1101,1775
1117,223,411
209,18,1
2076,409,288
6009,182,287
1686,143,140
426,88,60
705,43,45
137,9,9
788,55,61
15420,1104,1658
525,49,44
8447,811,876
231,47,21
469,39,94
854,130,132
5727,1972,1483
2038,108,144
7952,1006,1674
12517,966,1216
339,48,68
21087,2158,4384
637,56,93
13215,2117,3703
2909,370,1019
1205,182,185
879,221,90
3040,326,719
16602,5507,3302
4378,689,863
116,9,2
1162,164,179
1558,269,523
34027,2526,4786
423,21,35
200,21,45
80,21,3
739,116,303
14018,1142,2536
621,49,83
3123,634,822
108,19,3
184,29,18
2758,240,607
1241,116,201
3330,457,761
13638,1465,1580
1936,110,440
17251,864,1799
2500,283,193
6564,637,1168
502,64,24
3830,243,515
161,30,17
946,88,63
1024,159,231
1074,107,128
66,23,10
146,29,12
149,14,16
16,5,0
5307,1244,2720
695,73,87
626,44,53
337,43,45
1836,213,420
1894,78,265
1076,116,281
1816,137,277
968,83,162
860,62,163
521,55,100
2783,87,139
131,27,11
711,181,198
414,34,55
461,52,87
614,87,160
281,12,52
485,57,183
1386,419,384
318,28,122
3715,285,440
790,50,84
30272,2190,6387
1079,91,111
8475,1604,2186
3121,329,445
1570,161,267
1531,278,388
4044,311,2426
2518,357,540
18441,1543,2913
510,64,20
185,20,12
246,45,62
233,24,9
747,69,151
1086,154,82
315,24,33
535,87,110
748,36,114
688,22,53
4474,623,554
8945,552,576
775,198,104
5134,360,703
2394,243,606
240,68,70
113,6,7
220,30,38
1748,147,202
188,5,0
246,35,14
140,23,28
1092,115,237
3849,827,1124
168,12,9
4101,438,1023
465,60,116
4188,378,913
505,77,42
11819,4738,3695
345,31,78
405,63,84
60,11,8
345,29,32
928,141,103
1482,231,304
7555,1196,2617
467,3,0
554,49,22
376,5,0
5393,291,1030
567,45,86
3746,131,174
13270,1416,1469
264,45,34
231,22,22
212,31,24
281,40,44
8634,1090,1213
2403,476,1014
2459,316,389
1739,125,120
3612,560,716
9055,819,1980
235,33,54
742,89,117
304,54,33
174,17,16
6136,529,1090
6472,701,1311
3456,411,391
66,8,4
1071,107,98
773,174,230
381,86,100
11331,972,1753
8810,1328,1091
2302,190,426
530,31,32
498,103,42
414,28,41
4363,299,276
5930,580,826
276,41,36
299,11,0
537,76,95
815,71,160
355,37,61
20648,2471,4185
223,27,26
317,39,27
213,40,18
1811,100,108
2951,1309,867
684,60,62
6278,564,653
399,45,80
293,13,16
1001,285,167
150,20,10
13588,1515,3807
66,20,11
2653,459,170
576,56,135
1385,112,89
835,119,91
230,26,41
322,53,49
1487,124,323
1297,74,201
84,12,9
750,89,86
338,35,76
5877,399,674
142,20,3
8920,2157,1961
347,40,7
14511,2239,3891
1121,159,150
86,10,7
859,78,55
12692,1087,2129
12107,1197,1698
1190,91,330
1172,114,314
2563,200,431
1218,245,308
4061,641,1144
29,2,0
631,106,94
990,65,117
114,11,8
4065,471,1298
3298,540,728
2108,118,535
818,133,238
145,11,20
520,231,130
9092,1284,1033
231,15,32
2781,363,264
12053,892,2584
221,6,7
304,23,0
2950,201,261
507,21,54
537,45,18
4277,320,328
1721,296,423
849,52,29
4673,629,715
2998,431,552
4414,477,612
6379,859,914
2701,228,511
1805,415,620
